[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 1.000000, 0.000000, 0.000000, -0.000830, 0.000400, , 6.000000, 5.350000, 50 x 50, 3.770000, 5.010000, 22.000000, 0.000000, 0.010000, 0 x 0, 0.040000, -0.005950, 0.006730, -0.000290, -0.005180, 0.000000, 2.045290, 4.000000, 3.700000, 0.143000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 1.000000, 0.000000, 0.000000, -0.001180, 0.000350, , 5.000000, 4.100000, 65 x 50, 2.800000, 4.010000, 23.000000, 0.000000, 0.130000, 0 x 0, 0.030000, -0.048040, 0.032270, 0.001530, -0.065010, -0.000370, 2.521950, 33.000000, 2.700000, 0.104000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 1.000000, 0.000000, 0.000000, -0.000800, 0.000350, , 22.000000, 2.960000, 65 x 50, 1.850000, 3.020000, 24.000000, 0.000000, 0.140000, 0 x 0, 0.010000, -0.061430, 0.047590, 0.001580, -0.069880, -0.000360, 2.067920, 14.000000, 1.700000, 0.065000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 1.000000, 0.000000, 0.000000, -0.000900, 0.000650, , 37.000000, 1.850000, 65 x 65, 0.800000, 1.950000, 25.000000, 0.000000, 0.250000, 0 x 65, 0.050000, -0.110530, 0.083020, 0.002030, -0.125010, -0.000300, 1.844120, 69.000000, 0.700000, 0.026000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 1.000000, 0.000000, 0.000000, -0.000890, 0.000780, , 34.000000, 0.500000, 0 x 65, 0.000000, 1.250000, 26.000000, 0.000000, 0.800000, 0 x 69, 0.350000, -0.250440, 0.124260, 0.003810, -0.400280, -0.000030, 2.077870, 259.000000, 0.300000, 0.012000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 1.000000, 0.000000, 0.000000, -0.000950, 0.000090, , 99.000000, 0.180000, 0 x 50, 0.000000, 0.660000, 27.000000, 0.050000, 1.450000, 65 x 65, 0.800000, -0.393840, 0.150840, 0.005130, -0.750240, -0.000620, 2.069180, 120.000000, 1.300000, 0.051000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.328420, 0.382610, 0.004190, -0.200160, 0.000010, 0.767740, 171.000000, 0.150000, 0 x 65, 0.000000, 0.400000, 28.000000, 1.050000, 2.350000, 65 x 65, 1.500000, -0.520630, 0.108460, 0.005300, -1.260470, -0.000080, 2.971610, 41.000000, 2.300000, 0.090000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.185120, 0.175770, 0.003760, -0.150550, 0.000300, 1.234170, 129.000000, 0.010000, 0 x 65, 0.000000, 0.300000, 29.000000, 2.050000, 3.300000, 65 x 66, 2.850000, -0.587650, 0.084480, 0.004860, -1.235530, -0.000330, 3.712240, 21.000000, 3.300000, 0.129000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.105690, 0.100330, 0.002340, -0.089940, 0.000550, 1.482130, 129.000000, 0.030000, 0 x 0, 0.000000, 0.180000, 30.000000, 3.000000, 4.280000, 66 x 50, 3.300000, -0.632550, 0.069670, 0.005020, -1.200210, -0.000030, 4.321890, 16.000000, 4.300000, 0.168000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.063040, 0.043050, 0.001530, -0.074600, -0.000340, 2.328950, 143.000000, 0.010000, 0 x 65, 0.000000, 0.150000, 32.500000, 5.600000, 6.700000, 65 x 65, 5.870000, -0.689120, 0.047060, 0.004570, -1.209720, -0.000850, 5.788930, 16.000000, 6.800000, 0.266000
