Implementation,PSteps,TSteps,MeanTime,StdTime,RunCount
base,160,90000,5380.4647700000005,16.585942529433254,10
hybrid2,120,30000,497.786841,19.756238674156364,10
cpu_acc,120,100000,309.74742000000003,0.5944997960564179,10
base,200,70000,5196.6943,34.0369073438133,10
hybrid1,100,10000,285.64169499999997,36.2034055037289,10
hybrid1,60,10000,255.94389999999999,22.64692466203304,10
hybrid2,80,70000,609.224111,6.054319275199703,10
base,180,50000,3331.4703329999998,27.30036621913582,10
cpu_acc,100,50000,132.254917,0.15050273213097964,10
cpu_acc,40,100000,111.73013800000001,0.9655357833958198,10
hybrid2,100,70000,722.1952739999999,17.071979091134626,10
gpu,60,20000,252.86275299999997,13.484416590740793,10
hybrid2,200,30000,645.577132,7.7903166575375185,10
hybrid2,180,10000,341.594875,8.616150876773021,10
cpu_acc,200,10000,53.028696000000004,0.06203999484203689,10
cpu_acc,80,40000,85.244906,0.15438412067163942,10
hybrid1,180,70000,602.264364,20.94974144702731,10
hybrid1,200,50000,507.224777,11.350928362230553,10
hybrid2,140,90000,1082.4976419999998,14.629329208836959,10
gpu,140,40000,260.489669,9.478171798232504,10
base,100,30000,1099.095947,7.760179979525186,10
cpu_acc,180,30000,140.91826799999998,0.10688160394671314,10
cpu_acc,120,80000,247.65512600000002,0.5516107853107238,10
hybrid2,60,20000,317.042149,15.769155189293823,10
hybrid1,80,40000,337.24215,22.482645592299257,10
gpu,120,70000,313.175211,16.88011916912676,10
cpu_acc,160,60000,248.942469,0.587326032350578,10
base,80,50000,1470.834437,8.629165230989178,10
hybrid1,160,20000,320.033126,14.71159878178984,10
cpu_acc,60,10000,17.425033,0.06153328639398733,10
hybrid2,160,40000,661.305008,6.769210838297834,10
gpu,160,90000,333.693511,34.68937355122569,10
gpu,80,70000,310.903982,15.223753233202391,10
cpu_acc,40,50000,55.856967999999995,0.08033808586218635,10
hybrid1,140,60000,486.05381,11.353137395000354,10
gpu,200,70000,316.855744,17.64367477496505,10
base,100,100000,3682.891084,27.204386725029064,10
gpu,180,50000,288.949287,8.042623207217138,10
hybrid2,180,80000,1206.989078,8.101871048653958,10
cpu_acc,140,20000,73.356537,0.06221387377426236,10
hybrid1,20,60000,316.67519,12.610935524185171,10
cpu_acc,200,80000,417.17389599999996,12.881250132945775,10
base,60,90000,2003.31612,4.292103105360407,10
hybrid1,200,100000,815.100008,30.138805040115002,10
gpu,20,50000,284.78752,12.234626145105993,10
hybrid1,100,80000,507.020451,18.891455492964372,10
hybrid2,120,100000,1064.941151,14.882672921222813,10
hybrid1,60,80000,418.698812,8.99207746626972,10
base,20,70000,291.81959700000004,31.29490544266841,10
gpu,100,30000,268.859661,11.654123293306439,10
hybrid2,40,60000,392.683976,13.302321979214506,10
base,140,40000,2061.55784,12.34035444332306,10
gpu,120,60000,298.479414,15.26863039993379,10
hybrid1,80,50000,386.07835800000004,21.13335439749519,10
hybrid2,60,30000,363.861666,14.308622079108805,10
base,160,10000,261.976367,0.7667512814328404,10
cpu_acc,120,90000,280.29443000000003,0.20891785445745972,10
cpu_acc,20,100000,57.089161000000004,0.1013031220808801,10
